Date,Close,High,Low,Open,Volume
2010-01-04,65.58616638183594,66.85498077011788,64.926386279229,65.74765466551852,490880
2010-01-05,66.93112182617188,67.45479365832006,65.70152124308153,66.85498901097418,1282660
2010-01-06,68.00846099853516,68.65440721275868,67.5932153924128,67.87005048996703,1318500
2010-01-07,69.69944763183594,70.73064814473264,67.59321426565697,67.59321426565697,3218340
2010-01-08,69.0558090209961,70.36153540814942,67.20334002612103,70.36153540814942,478240
2010-01-11,68.49754333496094,70.13085084241442,68.23454926500128,70.13085084241442,406280
2010-01-12,68.32219696044922,69.43414146910676,68.00845009749747,69.43414146910676,393860
2010-01-13,67.79161071777344,68.79282703083706,67.36252404663979,68.28529834864855,525280
2010-01-14,70.00627899169922,70.3569377749783,68.14688910951485,68.49292951498653,1128620
2010-01-15,69.93014526367188,70.58762336749155,69.05120329674354,70.13084754963373,659400
2010-01-18,69.47570037841797,70.54611525196101,68.56215549699746,70.54611525196101,239180
2010-01-19,70.78370666503906,72.3455066767329,65.10172981488667,68.12842839867395,2251180
2010-01-20,71.77107238769531,72.8991673117888,70.86906673437954,71.37658835862737,2549940
2010-01-21,70.31999969482422,71.96253641301028,69.5771662868572,71.81488918250898,868240
2010-01-22,70.16084289550781,70.54148591228083,66.25520209296589,68.97738364828595,557300
2010-01-25,69.330322265625,69.83093029436307,68.74666795020637,69.25880783869205,286860
2010-01-27,69.15040588378906,69.85401854041756,67.99001736941594,67.99001736941594,776900
2010-01-28,70.34539794921875,71.00748745658161,67.1802814670224,67.82391858402758,1503240
2010-01-29,69.24959564208984,70.59223393801204,68.05460461344299,69.90015321312957,442140
2010-02-01,78.8280029296875,79.6815649930078,70.35001345302689,70.3615453165031,7468400
2010-02-02,77.06318664550781,80.28136486344513,76.49799160550855,79.1278969774761,3162920
2010-02-03,79.95145416259766,81.98847482730973,77.42074599043842,77.51302198952732,5937120
2010-02-04,78.5465316772461,81.89619902985153,77.37922303738931,80.6504554385657,3925660
2010-02-05,77.63531494140625,79.31245483604944,76.1496476321751,77.05166042993757,2491540
2010-02-08,78.45195770263672,80.23521434896136,77.35385414526853,78.85105304076622,2257320
2010-02-09,78.49577331542969,79.52927569960578,77.75063076881129,78.84181356874728,1655720
2010-02-10,79.52700805664062,82.12692242012805,78.85107045133107,78.85107045133107,4079920
2010-02-11,80.15217590332031,80.97344446343644,79.28015447532245,80.29981612975229,1604680
2010-02-15,79.22018432617188,80.90425190457808,78.95949942024009,79.77154543379189,692500
2010-02-16,79.70462036132812,80.37363023851903,78.99408733539347,80.28135422790793,465280
2010-02-17,82.92280578613281,83.92631717419017,79.97223308184626,80.23522008830678,4268340
2010-02-18,84.23313903808594,85.35661552683003,82.59060204951653,82.81898641657293,4171160
2010-02-19,83.58258819580078,85.21820478991314,82.8236043664175,83.04968660331292,1378220
2010-02-22,81.34717559814453,85.52042195128774,80.9734530949093,84.42924573582859,3472380
2010-02-23,80.62279510498047,81.85007960355459,79.75538498881629,80.74275323245045,3425960
2010-02-24,80.078369140625,81.2964311861947,79.58929978720688,79.8199934097785,827180
2010-02-25,79.52239227294922,80.7289223868314,79.26632574533978,79.58929539105854,1059800
2010-02-26,80.56973266601562,81.85007921656435,78.50733150141254,80.1798599533198,2330380
2010-03-02,82.65521240234375,83.04969648940964,81.20645686741467,81.57325884875102,1090500
2010-03-03,83.70484161376953,84.2954165016994,82.92971471343957,82.92971471343957,855440
2010-03-04,86.15713500976562,86.64389510350544,83.41880323336031,83.78791438399215,2702680
2010-03-05,84.45691680908203,87.75583202150123,84.0878056915574,86.74078172846525,2084960
2010-03-08,83.52030944824219,85.77187410343458,83.28269533171421,85.31048692258726,1724100
2010-03-09,83.71408081054688,84.65992582172153,82.68288030796192,83.5110693497825,1657220
2010-03-10,82.99200439453125,84.98750218874862,82.68287588316815,83.09812145599419,2063540
2010-03-11,83.60795593261719,84.20314216861058,81.52709569438845,81.52709569438845,1049500
2010-03-12,83.22962951660156,84.56995865327838,82.87897780945245,83.87556872456291,1625360
2010-03-15,82.62751770019531,83.7371531903556,82.35760313006033,82.91126628087609,966780
2010-03-16,83.14889526367188,83.6402737740929,82.42913233468735,83.51108591710646,1477660
2010-03-17,83.3934097290039,85.26433809370211,82.9274112891688,83.28037214156767,2387720
2010-03-18,83.60103607177734,84.6183883967005,83.41878620232357,84.6183883967005,851320
2010-03-19,84.13394165039062,85.24126788943381,83.55720776751218,84.01859487381493,951000
2010-03-22,82.46603393554688,84.20315630315146,82.18919882476786,83.04968840858774,835380
2010-03-23,82.16614532470703,83.97247317470111,81.83394596651337,82.9297406027217,1219700
2010-03-25,81.9123764038086,83.4118847701646,81.47175079286959,81.99312057003895,2509980
2010-03-26,83.8202133178711,84.60918854204678,82.35761671184726,82.35761671184726,1421340
2010-03-29,85.23435974121094,85.44890308714521,83.74177195397658,84.20315912727672,1394560
2010-03-30,84.54918670654297,86.0486947927436,84.43383993068139,85.81800124102043,991840
2010-03-31,84.92290496826172,85.49502748294648,84.0185902323821,84.0185902323821,1278560
2010-04-01,86.39934539794922,86.6946328589274,84.80294998210755,84.89522599362417,1269200
2010-04-05,86.35091400146484,87.42825612567795,85.86415392338651,87.42825612567795,734200
2010-04-06,86.30937957763672,86.74077539265086,85.44889009578245,86.74077539265086,404340
2010-04-07,86.75462341308594,87.20216950231986,86.04870165176007,86.74078236209594,2080180
2010-04-08,87.03836059570312,88.66935844023358,86.29321798765912,86.96222779118136,1691820
2010-04-09,87.91732788085938,89.04772505512342,87.20448553806709,89.04772505512342,591020
2010-04-12,87.94962310791016,88.53097546777607,87.20217811975084,88.07881095672263,420920
2010-04-13,87.9380874633789,89.18614059218284,87.24831590310423,87.75583756155774,955040
2010-04-15,90.63721466064453,91.35466839932828,87.93809664185304,87.93809664185304,3088140
2010-04-16,94.8658218383789,95.44716717201058,90.43650193195401,90.89327779137099,6382880
