Date,Close,High,Low,Open,Volume
2010-03-05,198.0190887451172,198.79699606318093,191.43780593155157,192.623176309666,4734320
2010-03-08,200.64913940429688,202.5012853064904,198.79699350210336,198.79699350210336,3179896
2010-03-09,195.95704650878906,201.093661726595,194.41359151108279,201.093661726595,1277324
2010-03-10,196.0064239501953,197.09300713546338,193.24054980740127,195.09269565220066,1435832
2010-03-11,192.31448364257812,195.58660808336677,191.41309993731554,195.06801325772108,1555036
2010-03-12,191.66006469726562,195.09271469378373,190.90686166142615,192.8701394630951,1609284
2010-03-15,187.5236053466797,193.4381280062662,186.6963194839079,193.2899623532573,2296812
2010-03-16,186.98031616210938,189.40045055665314,185.01703841261227,188.17803119769812,2907920
2010-03-17,188.3138427734375,191.63536073895003,187.68411618763145,188.1780217565463,3406556
2010-03-18,186.31353759765625,188.9188865479068,185.04172468523896,188.4743745352957,3538940
2010-03-19,184.4490203857422,187.4618319654065,183.41181579092,187.4618319654065,2556328
2010-03-22,183.68350219726562,185.6344354799142,180.3496391690865,180.52250915547873,3674564
2010-03-23,180.2384796142578,185.80727683555736,179.11484748505242,184.6959893307342,2654072
2010-03-25,182.65866088867188,183.1896004124849,178.29993754964548,179.781654482191,4379724
2010-03-26,185.67147827148438,186.99268494901457,183.3130817714203,183.97985742362386,3118228
2010-03-29,186.28883361816406,188.73367230123623,185.2145949963064,185.67145163484304,2801068
2010-03-30,184.8318328857422,189.1658516685484,184.30087831734232,186.20241796094712,2413876
2010-03-31,184.75770568847656,186.67158949835428,183.97979849792253,185.21456224623074,2091452
2010-04-01,184.43670654296875,186.37529521266822,183.52299317238848,185.708519587885,1377340
2010-04-05,189.2522735595703,190.16600194044935,184.14036262246333,185.46155408247836,4177568
2010-04-06,193.104736328125,195.00627581754244,189.80790755206178,190.15364748570207,5961100
2010-04-07,194.5123748779297,196.7596392817728,192.2157018277574,193.36403835284355,8431688
2010-04-08,194.12957763671875,196.8213690137057,192.62317168217118,194.59879395583448,4222528
2010-04-09,194.092529296875,196.32744881282565,192.93184828304408,194.35182668640726,2149192
2010-04-12,189.10406494140625,197.11768455061014,187.86930121341797,197.11768455061014,1965440
2010-04-13,189.6473846435547,191.38839867500582,188.1780126327154,190.52406397131224,1461716
2010-04-15,183.99215698242188,191.1167533905919,183.0537394775692,190.7710134858984,3258600
2010-04-16,179.04075622558594,182.7450477337015,178.54685069117053,182.7450477337015,3869392
2010-04-19,178.97900390625,181.26331682261124,172.86692340031044,172.86692340031044,3254232
2010-04-20,180.59657287597656,182.7450651702412,178.5962612998556,180.27553726253524,2164156
2010-04-21,183.3871612548828,184.5972361228028,180.86825450583174,181.5103258197459,1853624
2010-04-22,183.27603149414062,186.62223900986498,181.05345623417273,182.86855333402525,2264884
2010-04-23,184.20208740234375,185.36275342756414,181.79429776111982,183.48591830044876,1133344
2010-04-26,186.78274536132812,187.9187372917634,184.33792167047494,185.95545950553088,1375280
2010-04-27,185.73316955566406,187.53593680838532,185.041704824396,186.6962913736165,912344
2010-04-28,181.80662536621094,185.041700500914,180.5224679965455,180.5224679965455,1667752
2010-04-29,179.9792022705078,182.49812391007902,179.07783357092612,182.49812391007902,3613152
2010-04-30,182.386962890625,183.89338381166192,180.28786437299712,180.28786437299712,2528716
2010-05-03,182.386962890625,185.33805146820316,181.33741363181107,182.7450474170158,1436444
2010-05-04,180.84353637695312,185.2146040470235,179.7816423283108,185.2146040470235,1729288
2010-05-05,184.33795166015625,185.1158440676535,176.6577092413267,178.15178599152063,2824512
2010-05-06,185.18994140625,187.14085980553168,180.76947952534687,183.97986645680797,2060476
2010-05-07,175.91680908203125,183.23896513297498,174.8672597534394,182.80679776237835,2201056
2010-05-10,187.90640258789062,188.8942138459207,178.5468848889343,179.28774333245684,5285052
2010-05-11,184.31324768066406,190.64759410994162,183.26369810169092,188.91892421516235,4488996
2010-05-12,189.783203125,190.95622877866788,184.47371858734547,185.43684041631943,6418872
2010-05-13,191.79591369628906,193.36405807428332,190.8945298741009,192.1292939741921,2809420
2010-05-14,187.21490478515625,195.08036022038843,185.46154599857817,191.635365772166,3345984
2010-05-17,193.7344512939453,194.79634520808358,183.8563403293082,185.41213979167833,4912064
