Date,Close,High,Low,Open,Volume
2010-01-04,1018.5625,1033.755192344393,1012.2298040863893,1030.425308053933,333481
2010-01-05,1021.2086181640625,1028.7008759223597,1017.4922132654991,1024.5385024359687,373950
2010-01-06,1008.1268920898438,1023.3492723265942,1001.1102904735276,1023.3492723265942,512455
2010-01-07,983.0337524414062,1013.8353480621079,973.4008591071382,1013.8353480621079,433144
2010-01-08,978.276611328125,991.4773243521764,960.9730455909241,986.8986702177777,471781
2010-01-11,996.8289794921875,1003.9941644230004,979.9416214977148,981.1308710383673,249598
2010-01-12,978.0093383789062,1004.2025951717035,970.6062871501754,996.8292316373794,381602
2010-01-13,966.7112426757812,987.6717663136845,955.8593403667959,975.2440938097494,559327
2010-01-14,964.065185546875,977.1469307163526,960.4379163174208,972.2115160043638,451344
2010-01-15,966.4733276367188,975.1845947841612,960.9136007141491,969.2383472549894,215112
2010-01-18,1007.6513061523438,1009.0784203801669,951.9944319555965,960.9138051469356,383077
2010-01-19,989.5148315429688,1011.337598999636,984.7578345064436,1007.6508827447205,178910
2010-01-20,1004.1133422851562,1007.2945709524781,979.7634093117432,990.0504490176364,347805
2010-01-21,983.0337524414062,1006.1052251736578,978.3362742934107,996.0560509014648,210985
2010-01-22,980.7739868164062,990.0501175446653,948.4263888791238,970.7248149499496,364642
2010-01-25,964.154296875,986.3040693873351,960.913620937809,980.5362381970589,299520
2010-01-27,921.757568359375,974.2926503695734,915.8707688323072,957.2269491228701,790006
2010-01-28,915.1868286132812,934.720234794431,905.018761123123,930.587622311227,1502871
2010-01-29,927.0198364257812,936.5338308984,888.9638585353066,906.9512543351013,432901
2010-02-01,940.0715942382812,944.6799342113122,913.5216678172966,944.6799342113122,209979
2010-02-02,932.6392211914062,954.372786261877,921.6684228697254,951.0429019609737,338167
2010-02-03,951.1618041992188,970.3979017321972,934.8690703566618,942.4802967401441,472444
2010-02-04,951.6671142578125,965.492139145528,932.7283312406635,948.4264385335972,193176
2010-02-05,942.7178955078125,948.7235897063945,905.4052002686548,936.5337848872274,289159
2010-02-08,938.4666137695312,963.2327518181822,931.8959805328966,944.6804140485278,286278
2010-02-09,962.2813110351562,966.265268028924,928.3876985566033,933.2041447600333,632885
2010-02-10,969.6248779296875,974.589980150895,946.6426164735966,969.238357319072,867135
2010-02-11,1005.4810791015625,1011.4570891743168,963.8870908592403,973.995715501194,769067
2010-02-15,1013.4487915039062,1025.727808482073,988.5637574501138,1004.915939904176,747800
2010-02-16,1008.1268920898438,1019.6031070831987,997.1857813432298,1019.6031070831987,292129
2010-02-17,1009.9107055664062,1016.7488902973682,999.1480119418374,1011.129642771177,575364
2010-02-18,1012.6460571289062,1021.5654293291021,1003.845580856965,1016.0353895305659,230212
2010-02-19,999.1774291992188,1009.6725678760273,986.6011044284371,993.9447762859787,238997
2010-02-22,1015.1731567382812,1025.6385383602421,1008.1268676049687,1025.6385383602421,211647
2010-02-23,1007.2051391601562,1019.7814674007004,996.3532372475833,1004.9158483423812,325274
2010-02-24,994.361572265625,1004.3215401744001,982.5582815297498,1003.7269152246224,283000
2010-02-25,1011.0107421875,1018.5922078324879,977.1765790271718,996.382987695553,906439
2010-02-26,1057.03466796875,1070.3245161942905,1005.0644519429997,1005.8969410839117,414280
2010-03-02,1067.0540771484375,1075.081510997144,1058.4320185701972,1064.3782658655352,407909
2010-03-03,1077.3411865234375,1082.068424407028,1067.351461360415,1076.2708329038169,296134
2010-03-04,1070.5623779296875,1077.3708020507274,1059.0266436556492,1076.2113128621572,275290
2010-03-05,1112.3050537109375,1126.635495808881,1069.7299357117663,1069.7299357117663,360018
2010-03-08,1138.0523681640625,1146.3771149904674,1115.516074738232,1117.8945738314906,686239
2010-03-09,1115.486328125,1140.7876415737808,1110.8779860753796,1130.7384682644988,441606
2010-03-10,1153.3642578125,1161.8971110246675,1116.824512381409,1123.7222196252171,567857
2010-03-11,1137.011962890625,1156.366958912021,1130.5602975501597,1154.3155321391596,670880
2010-03-12,1140.8177490234375,1148.8451860044138,1106.240292991874,1106.240292991874,373725
2010-03-15,1136.179443359375,1156.3669281818472,1131.689996663117,1148.2205966908036,373530
2010-03-16,1138.0821533203125,1153.0072944775748,1132.760290177777,1136.1793829171588,189726
2010-03-17,1148.517822265625,1155.801976199228,1139.479554174263,1152.3828835365164,204551
2010-03-18,1150.3609619140625,1155.772032316492,1144.6525791534116,1148.5176398102933,324542
2010-03-19,1170.340576171875,1176.10848064744,1150.5990606006367,1158.9238083259127,461442
